Isolates,Level 1,Level 2
11679_7#32,3,10
11679_7#34,16,50
11679_7#35,19,59
11679_7#36,20,65
11679_7#37,3,10
11679_7#38,23,83
11679_7#39,4,13
11679_7#4,23,85
11679_7#40,19,60
11679_7#41,7,20
11679_7#42,24,86
11679_7#43,5,16
11679_7#44,24,86
11679_7#45,5,16
11679_7#46,19,59
11679_7#47,20,68
11679_7#48,19,58
11679_7#49,7,19
11679_7#5,24,86
11679_7#50,20,70
11679_7#51,18,54
11679_7#52,18,57
11679_7#53,22,81
11679_7#54,24,86
11679_7#55,19,63
11679_7#56,2,4
11679_7#57,19,62
11679_7#58,24,86
11679_7#59,20,68
11679_7#6,19,64
11679_7#60,20,70
11679_7#61,22,81
11679_7#62,23,85
11679_7#63,20,70
11679_7#64,11,31
11679_7#65,13,39
11679_7#66,6,18
11679_7#67,23,85
11679_7#68,18,55
11679_7#69,14,43
11679_7#70,24,86
11679_7#71,20,65
11679_7#72,20,69
11679_7#73,21,76
11679_7#74,20,70
11679_7#75,11,32
11679_7#76,21,77
11679_7#77,9,25
11679_7#78,17,52
11679_7#79,20,68
11679_7#8,24,86
11679_7#80,20,70
11679_7#81,1,2
11679_7#82,10,30
11679_7#83,3,10
11679_7#84,3,10
11679_7#85,24,88
11679_7#86,24,87
11679_7#87,24,88
11679_7#88,4,13
11679_7#89,21,71
11679_7#9,5,16
11679_7#90,3,10
11679_7#91,19,61
11679_7#92,9,23
11679_7#93,24,86
11679_7#94,20,70
11679_7#95,2,5
11679_7#96,18,55
11679_8#1,24,88
11679_8#10,20,70
11679_8#11,24,86
11679_8#12,18,54
11679_8#13,23,85
11679_8#14,19,59
11679_8#15,2,5
11679_8#16,19,59
11679_8#17,18,57
11679_8#18,20,67
11679_8#19,5,14
11679_8#2,3,10
11679_8#20,21,77
11679_8#21,20,70
11679_8#22,23,84
11679_8#23,21,75
11679_8#24,17,52
11679_8#25,14,43
11679_8#26,13,38
11679_8#27,18,54
11679_8#28,1,2
11679_8#29,1,3
11679_8#3,21,76
11679_8#30,16,49
11679_8#31,23,84
11679_8#32,15,46
11679_8#33,13,38
11679_8#34,12,33
11679_8#35,3,10
11679_8#36,3,10
11679_8#37,19,60
11679_8#38,20,70
11679_8#39,20,70
11679_8#4,23,85
11679_8#40,7,20
11679_8#41,20,70
11679_8#42,20,70
11679_8#43,3,10
11679_8#44,4,13
11679_8#45,19,60
11679_8#46,20,70
11679_8#47,3,10
11679_8#48,3,10
11679_8#49,13,39
11679_8#5,5,14
11679_8#50,3,10
11679_8#52,2,6
11679_8#53,21,73
11679_8#54,2,4
11679_8#55,4,12
11679_8#56,12,34
11679_8#57,24,88
11679_8#58,3,10
11679_8#59,22,82
11679_8#6,24,87
11679_8#60,19,64
11679_8#61,23,85
11679_8#62,17,52
11679_8#63,13,38
11679_8#64,9,25
11679_8#65,10,29
11679_8#66,3,8
11679_8#67,18,55
11679_8#68,3,10
