Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30 K_31 K_32 K_33 K_34 K_35 K_36 K_37 K_38 K_39 K_40 K_41 K_42 K_43 K_44 K_45 K_46 K_47 K_48 K_49 K_50
EM_COY_2015_014098_2015-03-26 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_014100_2015-03-26 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_014102_2015-03-26 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_014261_2015-04-02 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_014370_2015-04-07 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_015802_2015-04-14 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 22 22 22 23 24 24 24
EM_COY_2015_015815_2015-04-14 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_015972_2015-04-20 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_015980_2015-04-20 1 2 2 5 6 6 7 7 7 7 7 9 9 9 9 9 9 9 10 13 13 14 14 15 15 16 17 17 17 17 17 17 17 17 17 17 17 18 19 19 19 19 19 19 19 20 21 21 21
EM_COY_2015_015982_2015-04-20 2 3 4 4 5 5 6 6 6 6 6 6 6 6 6 11 12 12 13 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 18 18 18 19 20 20 20 20 20 20 20 21 22 22 22
