Isolates,Level 1
6631_3#14_S_pneumoniae_Spanish_23F.dna,15
6631_3#15_S_pneumoniae_Spanish_23F.dna,20
6631_3#16_S_pneumoniae_Spanish_23F.dna,28
6631_3#17_S_pneumoniae_Spanish_23F.dna,6
6631_3#18_S_pneumoniae_Spanish_23F.dna,19
6631_3#19_S_pneumoniae_Spanish_23F.dna,29
6631_3#1_S_pneumoniae_Spanish_23F.dna,18
6631_3#20_S_pneumoniae_Spanish_23F.dna,11
6631_3#21_S_pneumoniae_Spanish_23F.dna,12
6631_3#22_S_pneumoniae_Spanish_23F.dna,27
6631_3#23_S_pneumoniae_Spanish_23F.dna,29
6631_3#24_S_pneumoniae_Spanish_23F.dna,29
6631_3#2_S_pneumoniae_Spanish_23F.dna,20
6631_3#3_S_pneumoniae_Spanish_23F.dna,29
6631_3#4_S_pneumoniae_Spanish_23F.dna,29
6631_3#5_S_pneumoniae_Spanish_23F.dna,22
6631_3#6_S_pneumoniae_Spanish_23F.dna,25
6631_3#7_S_pneumoniae_Spanish_23F.dna,12
6631_3#8_S_pneumoniae_Spanish_23F.dna,15
6631_3#9_S_pneumoniae_Spanish_23F.dna,31
6631_4#10_S_pneumoniae_Spanish_23F.dna,29
6631_4#11_S_pneumoniae_Spanish_23F.dna,29
6631_4#12_S_pneumoniae_Spanish_23F.dna,14
6631_4#13_S_pneumoniae_Spanish_23F.dna,12
6631_4#14_S_pneumoniae_Spanish_23F.dna,27
6631_4#15_S_pneumoniae_Spanish_23F.dna,23
6631_4#16_S_pneumoniae_Spanish_23F.dna,30
6631_4#17_S_pneumoniae_Spanish_23F.dna,21
6631_4#18_S_pneumoniae_Spanish_23F.dna,6
6631_4#19_S_pneumoniae_Spanish_23F.dna,31
6631_4#1_S_pneumoniae_Spanish_23F.dna,14
6631_4#20_S_pneumoniae_Spanish_23F.dna,29
6631_4#21_S_pneumoniae_Spanish_23F.dna,5
6631_4#22_S_pneumoniae_Spanish_23F.dna,25
6631_4#23_S_pneumoniae_Spanish_23F.dna,29
6631_4#24_S_pneumoniae_Spanish_23F.dna,29
6631_4#2_S_pneumoniae_Spanish_23F.dna,27
6631_4#3_S_pneumoniae_Spanish_23F.dna,27
6631_4#4_S_pneumoniae_Spanish_23F.dna,23
6631_4#5_S_pneumoniae_Spanish_23F.dna,31
6631_4#6_S_pneumoniae_Spanish_23F.dna,1
6631_4#7_S_pneumoniae_Spanish_23F.dna,29
6631_4#8_S_pneumoniae_Spanish_23F.dna,29
6631_4#9_S_pneumoniae_Spanish_23F.dna,25
6631_5#10_S_pneumoniae_Spanish_23F.dna,22
6631_5#11_S_pneumoniae_Spanish_23F.dna,24
6631_5#12_S_pneumoniae_Spanish_23F.dna,17
6631_5#13_S_pneumoniae_Spanish_23F.dna,4
6631_5#14_S_pneumoniae_Spanish_23F.dna,22
6631_5#15_S_pneumoniae_Spanish_23F.dna,22
6631_5#16_S_pneumoniae_Spanish_23F.dna,20
6631_5#17_S_pneumoniae_Spanish_23F.dna,31
6631_5#18_S_pneumoniae_Spanish_23F.dna,21
6631_5#19_S_pneumoniae_Spanish_23F.dna,5
6631_5#1_S_pneumoniae_Spanish_23F.dna,18
6631_5#20_S_pneumoniae_Spanish_23F.dna,2
6631_5#21_S_pneumoniae_Spanish_23F.dna,1
6631_5#22_S_pneumoniae_Spanish_23F.dna,22
6631_5#23_S_pneumoniae_Spanish_23F.dna,14
6631_5#24_S_pneumoniae_Spanish_23F.dna,19
6631_5#2_S_pneumoniae_Spanish_23F.dna,25
6631_5#3_S_pneumoniae_Spanish_23F.dna,27
6631_5#4_S_pneumoniae_Spanish_23F.dna,29
6631_5#5_S_pneumoniae_Spanish_23F.dna,22
6631_5#6_S_pneumoniae_Spanish_23F.dna,29
6631_5#7_S_pneumoniae_Spanish_23F.dna,29
6631_5#8_S_pneumoniae_Spanish_23F.dna,8
6631_5#9_S_pneumoniae_Spanish_23F.dna,15
6631_6#10_S_pneumoniae_Spanish_23F.dna,29
6631_6#11_S_pneumoniae_Spanish_23F.dna,30
6631_6#12_S_pneumoniae_Spanish_23F.dna,20
6631_6#13_S_pneumoniae_Spanish_23F.dna,27
6631_6#14_S_pneumoniae_Spanish_23F.dna,13
6631_6#15_S_pneumoniae_Spanish_23F.dna,10
6631_6#16_S_pneumoniae_Spanish_23F.dna,20
6631_6#17_S_pneumoniae_Spanish_23F.dna,14
6631_6#18_S_pneumoniae_Spanish_23F.dna,32
6631_6#19_S_pneumoniae_Spanish_23F.dna,29
6631_6#1_S_pneumoniae_Spanish_23F.dna,22
6631_6#20_S_pneumoniae_Spanish_23F.dna,15
6631_6#21_S_pneumoniae_Spanish_23F.dna,27
6631_6#22_S_pneumoniae_Spanish_23F.dna,29
6631_6#23_S_pneumoniae_Spanish_23F.dna,14
6631_6#24_S_pneumoniae_Spanish_23F.dna,7
6631_6#2_S_pneumoniae_Spanish_23F.dna,22
6631_6#3_S_pneumoniae_Spanish_23F.dna,29
6631_6#4_S_pneumoniae_Spanish_23F.dna,13
6631_6#5_S_pneumoniae_Spanish_23F.dna,25
6631_6#6_S_pneumoniae_Spanish_23F.dna,22
6631_6#7_S_pneumoniae_Spanish_23F.dna,19
6631_6#8_S_pneumoniae_Spanish_23F.dna,5
6631_6#9_S_pneumoniae_Spanish_23F.dna,9
6631_7#10_S_pneumoniae_Spanish_23F.dna,28
6631_7#11_S_pneumoniae_Spanish_23F.dna,29
6631_7#12_S_pneumoniae_Spanish_23F.dna,26
6631_7#13_S_pneumoniae_Spanish_23F.dna,1
6631_7#14_S_pneumoniae_Spanish_23F.dna,27
6631_7#15_S_pneumoniae_Spanish_23F.dna,12
6631_7#16_S_pneumoniae_Spanish_23F.dna,31
6631_7#17_S_pneumoniae_Spanish_23F.dna,31
6631_7#18_S_pneumoniae_Spanish_23F.dna,29
6631_7#19_S_pneumoniae_Spanish_23F.dna,20
6631_7#1_S_pneumoniae_Spanish_23F.dna,7
6631_7#20_S_pneumoniae_Spanish_23F.dna,30
6631_7#21_S_pneumoniae_Spanish_23F.dna,23
6631_7#22_S_pneumoniae_Spanish_23F.dna,21
6631_7#23_S_pneumoniae_Spanish_23F.dna,29
6631_7#24_S_pneumoniae_Spanish_23F.dna,29
6631_7#2_S_pneumoniae_Spanish_23F.dna,30
6631_7#3_S_pneumoniae_Spanish_23F.dna,21
6631_7#4_S_pneumoniae_Spanish_23F.dna,20
6631_7#5_S_pneumoniae_Spanish_23F.dna,29
6631_7#6_S_pneumoniae_Spanish_23F.dna,31
6631_7#7_S_pneumoniae_Spanish_23F.dna,20
6631_7#8_S_pneumoniae_Spanish_23F.dna,29
6631_7#9_S_pneumoniae_Spanish_23F.dna,15
6680_4#10_S_pneumoniae_Spanish_23F.dna,29
6680_4#11_S_pneumoniae_Spanish_23F.dna,31
6680_4#12_S_pneumoniae_Spanish_23F.dna,21
6680_4#13_S_pneumoniae_Spanish_23F.dna,23
6680_4#14_S_pneumoniae_Spanish_23F.dna,25
6680_4#15_S_pneumoniae_Spanish_23F.dna,19
6680_4#16_S_pneumoniae_Spanish_23F.dna,27
6680_4#17_S_pneumoniae_Spanish_23F.dna,29
6680_4#18_S_pneumoniae_Spanish_23F.dna,25
6680_4#19_S_pneumoniae_Spanish_23F.dna,18
6680_4#1_S_pneumoniae_Spanish_23F.dna,13
6680_4#20_S_pneumoniae_Spanish_23F.dna,19
6680_4#21_S_pneumoniae_Spanish_23F.dna,13
6680_4#22_S_pneumoniae_Spanish_23F.dna,13
6680_4#23_S_pneumoniae_Spanish_23F.dna,13
6680_4#24_S_pneumoniae_Spanish_23F.dna,13
6680_4#2_S_pneumoniae_Spanish_23F.dna,27
6680_4#3_S_pneumoniae_Spanish_23F.dna,1
6680_4#4_S_pneumoniae_Spanish_23F.dna,27
6680_4#5_S_pneumoniae_Spanish_23F.dna,13
6680_4#6_S_pneumoniae_Spanish_23F.dna,26
6680_4#7_S_pneumoniae_Spanish_23F.dna,19
6680_4#8_S_pneumoniae_Spanish_23F.dna,29
6680_4#9_S_pneumoniae_Spanish_23F.dna,20
6680_5#10_S_pneumoniae_Spanish_23F.dna,3
6680_5#11_S_pneumoniae_Spanish_23F.dna,13
6680_5#12_S_pneumoniae_Spanish_23F.dna,31
6680_5#13_S_pneumoniae_Spanish_23F.dna,13
