Isolates,Level 1,Level 2
11658_3#93,20,70
11658_3#94,19,65
11658_3#95,20,71
11658_3#96,18,63
11658_4#10,22,82
11658_4#11,3,10
11658_4#12,3,10
11658_4#13,11,32
11658_4#14,8,23
11658_4#15,18,61
11658_4#16,18,63
11658_4#17,12,35
11658_4#18,19,65
11658_4#19,20,71
11658_4#2,22,82
11658_4#20,18,61
11658_4#21,2,4
11658_4#22,19,66
11658_4#23,2,7
11658_4#24,18,63
11658_4#25,18,63
11658_4#26,2,4
11658_4#27,1,2
11658_4#28,1,2
11658_4#29,20,71
11658_4#3,3,10
11658_4#30,7,21
11658_4#31,20,70
11658_4#32,17,54
11658_4#33,2,4
11658_4#34,18,63
11658_4#35,7,21
11658_4#36,20,72
11658_4#37,18,60
11658_4#38,22,82
11658_4#39,17,54
11658_4#4,4,12
11658_4#40,20,71
11658_4#41,20,68
11658_4#42,13,38
11658_4#43,19,67
11658_4#44,18,63
11658_4#45,20,70
11658_4#46,7,21
11658_4#47,1,3
11658_4#48,19,67
11658_4#49,18,62
11658_4#5,18,58
11658_4#50,20,71
11658_4#51,14,44
11658_4#52,5,17
11658_4#53,20,70
11658_4#54,20,70
11658_4#55,21,79
11658_4#56,2,7
11658_4#57,19,67
11658_4#58,18,60
11658_4#59,20,71
11658_4#6,21,79
11658_4#60,19,67
11658_4#61,19,65
11658_4#62,18,60
11658_4#63,9,25
11658_4#64,18,60
11658_4#65,19,65
11658_4#66,19,65
11658_4#67,9,26
11658_4#68,24,89
11658_4#69,18,61
11658_4#7,19,67
11658_4#70,3,10
11658_4#71,13,38
11658_4#72,10,28
11658_4#73,12,34
11658_4#74,19,65
11658_4#75,15,45
11658_4#76,4,11
11658_4#77,19,65
11658_4#78,1,2
11658_4#79,20,71
11658_4#8,20,71
11658_4#80,19,65
11658_4#81,19,65
11658_4#82,16,52
11658_4#83,15,47
11658_4#84,14,43
11658_4#85,19,65
11658_4#86,8,23
11658_4#87,10,29
11658_4#88,11,32
11658_4#89,21,77
11658_4#9,2,7
11658_4#90,20,70
11658_4#91,18,61
11658_4#92,7,21
11658_4#93,1,3
11658_4#94,12,34
11658_4#95,20,71
11658_4#96,20,71
11658_5#1,1,2
11658_5#10,3,10
11658_5#11,19,65
11658_5#12,20,70
11658_5#13,3,9
11658_5#14,19,65
11658_5#15,20,71
11658_5#16,20,71
11658_5#17,17,54
11658_5#18,1,2
11658_5#19,19,65
11658_5#2,19,65
11658_5#20,20,71
11658_5#21,22,82
11658_5#22,7,21
11658_5#23,20,71
11658_5#25,15,45
11658_5#26,19,65
11658_5#27,20,71
11658_5#28,19,65
11658_5#29,20,70
11658_5#3,24,89
11658_5#30,18,63
