Isolates,Level 1
740_2014-08-26,3
742_2014-08-26,3
768_2014-08-27,3
786_2014-08-28,3
787_2014-08-28,3
789_2014-08-29,3
955_2014-09-11,3
976_2014-09-14,3
989_2014-09-15,3
Conakry_633_2014-08-12,3
Conakry_645_2014-08-14,3
Makona-Mali-DPR1_2014-10-23,3
Makona-Mali-DPR2_2014-11-12,3
Makona-UK2_2014-12-29,3
Makona-UK3_2015-03-12,4
Makona-UK1.1_2014-08-25,3
J0001_2014-09-27,3
J0002_2014-09-27,3
J0003_2014-09-28,3
J0004_2014-09-28,3
J0005_2014-09-26,3
J0006_2014-09-28,3
J0007_2014-09-27,3
J0008_2014-09-29,3
J0009_2014-09-28,3
J0010_2014-09-28,3
J0011_2014-09-29,3
J0012_2014-09-29,3
J0013_2014-09-28,3
J0014_2014-09-29,3
J0015_2014-09-26,3
J0016_2014-09-30,3
J0017_2014-09-26,3
J0018_2014-09-30,3
J0019_2014-09-25,3
J0020_2014-09-25,3
J0021_2014-09-29,3
J0022_2014-09-25,3
J0023_2014-10-01,3
J0024_2014-09-29,3
J0025_2014-10-02,3
J0026_2014-10-02,3
J0027_2014-10-02,3
J0028_2014-10-02,3
J0029_2014-09-29,3
J0030_2014-10-03,3
J0031_2014-10-03,3
J0032_2014-09-30,3
J0033_2014-10-03,3
J0034_2014-09-30,3
J0035_2014-10-01,3
J0036_2014-10-03,3
J0037_2014-10-03,3
J0038_2014-09-30,3
J0039_2014-10-03,5
J0040_2014-10-04,3
J0041_2014-10-04,3
J0042_2014-10-04,3
J0043_2014-10-04,5
J0044_2014-10-05,3
J0045_2014-10-05,3
J0046_2014-10-07,3
J0047_2014-10-05,3
J0048_2014-10-05,3
J0049_2014-10-07,3
J0050_2014-10-05,3
J0051_2014-10-07,3
J0052_2014-10-08,3
J0053_2014-10-06,3
J0054_2014-10-06,3
J0055_2014-10-06,3
J0056_2014-10-08,3
J0057_2014-10-05,3
J0058_2014-10-08,3
J0059_2014-10-08,3
J0060_2014-10-06,3
J0061_2014-10-10,3
J0062_2014-10-10,3
J0063_2014-10-10,3
J0064_2014-10-09,3
J0065_2014-10-09,3
J0066_2014-10-10,3
J0067_2014-10-09,3
J0068_2014-10-09,3
J0069_2014-10-09,3
J0070_2014-10-09,3
J0071_2014-10-09,3
J0072_2014-10-09,3
J0073_2014-10-12,3
J0074_2014-10-13,3
J0075_2014-10-17,3
J0076_2014-10-17,3
J0077_2014-10-17,3
J0078_2014-10-18,5
J0079_2014-10-16,3
J0080_2014-10-18,5
J0081_2014-10-16,3
J0082_2014-10-16,3
J0083_2014-10-18,3
J0084_2014-10-16,3
J0085_2014-10-17,3
J0086_2014-10-23,5
J0087_2014-10-23,5
J0088_2014-10-20,3
J0089_2014-10-23,3
J0090_2014-10-23,3
J0091_2014-10-25,3
J0092_2014-10-25,3
J0093_2014-10-24,5
J0094_2014-10-27,3
J0095_2014-10-27,3
J0096_2014-10-27,3
J0097_2014-10-28,3
J0098_2014-10-28,3
